,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
915,no checking account,18,no credits taken/all credits paid back duly,car (used),2462,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,0
916,no checking account,12,no credits taken/all credits paid back duly,car (used),1282,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,0
917,less than 0 DM,12,delay in paying off in the past,car (used),2969,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,25,none,for free,2-3,skilled employee/official,0 to 2,no,no,0
918,no checking account,48,delay in paying off in the past,car (new),4605,unknown/no savings account,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,real estate,24,none,own,2-3,skilled employee/official,3 or more,no,no,0
919,no checking account,48,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,46,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,0
920,no checking account,24,critical account/other credits elsewhere,car (used),3552,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,27,bank,rent,1,skilled employee/official,0 to 2,no,no,0
921,no checking account,12,critical account/other credits elsewhere,others,697,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,46,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,0
922,no checking account,24,no credits taken/all credits paid back duly,others,1442,unknown/no savings account,4 to 7 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,0
923,no checking account,27,delay in paying off in the past,retraining,5293,unknown/no savings account,unemployed,25 to 35,male : married/widowed,none,7 yrs or more,car or other,50,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,0
924,no checking account,21,existing credits paid back duly till now,repairs,3414,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,less than 1 year,car or other,26,stores,rent,2-3,skilled employee/official,0 to 2,no,no,0
925,no checking account,18,no credits taken/all credits paid back duly,car (used),2039,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,20,none,for free,1,skilled employee/official,0 to 2,no,no,0
926,no checking account,24,critical account/other credits elsewhere,retraining,3161,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,31,bank,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,0
927,no checking account,12,no credits taken/all credits paid back duly,vacation,902,unknown/no savings account,4 to 7 yrs,less than 20,female : single,none,7 yrs or more,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,0
928,no checking account,48,no credits taken/all credits paid back duly,car (new),10297,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,real estate,39,none,own,4-5,skilled employee/official,3 or more,yes (under customer name),no,0
929,less than 0 DM,48,delay in paying off in the past,retraining,14421,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,25,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
930,less than 0 DM,18,all credits at this bank paid back duly,others,1056,unknown/no savings account,7 yrs or more,20 to 25,male : married/widowed,guarantor,4 to 7 yrs,unknown/no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,0
931,no checking account,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,less than 1 year,20 to 25,female : non-single or male : single,none,less than 1 year,unknown/no property,37,bank,rent,1,unskilled-resident,0 to 2,no,no,0
932,less than 0 DM,12,no credits taken/all credits paid back duly,others,1223,unknown/no savings account,7 yrs or more,35 or more,male : divorced/separated,none,less than 1 year,unknown/no property,46,none,for free,2-3,skilled employee/official,0 to 2,no,no,0
933,no checking account,12,no credits taken/all credits paid back duly,others,1372,unknown/no savings account,4 to 7 yrs,25 to 35,male : divorced/separated,none,4 to 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,no,no,0
934,no checking account,16,all credits at this bank paid back duly,others,2625,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,guarantor,7 yrs or more,car or other,43,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),yes,0
935,no checking account,20,all credits at this bank paid back duly,others,2235,unknown/no savings account,1 to 4 yrs,less than 20,female : single,guarantor,1 to 4 yrs,car or other,33,bank,for free,2-3,skilled employee/official,0 to 2,no,yes,0
936,less than 0 DM,9,no credits taken/all credits paid back duly,car (used),959,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,0
937,less than 0 DM,18,all credits at this bank paid back duly,others,884,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,0
938,less than 0 DM,24,no credits taken/all credits paid back duly,others,1246,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,23,bank,rent,1,unskilled-resident,0 to 2,no,no,0
939,less than 0 DM,36,existing credits paid back duly till now,others,8086,less than 100 DM,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,42,stores,rent,6 or more,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
940,200 DM or more,48,all credits at this bank paid back duly,others,10127,100 to 500 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,real estate,44,none,own,1,skilled employee/official,0 to 2,no,no,0
941,less than 0 DM,12,no credits taken/all credits paid back duly,others,888,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,41,bank,rent,1,unskilled-resident,3 or more,no,no,0
942,200 DM or more,12,no credits taken/all credits paid back duly,repairs,719,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,41,bank,rent,1,unskilled-resident,3 or more,no,no,0
943,less than 0 DM,36,no credits taken/all credits paid back duly,others,12389,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,none,7 yrs or more,real estate,37,bank,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
944,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,709,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,57,none,rent,1,unskilled-resident,0 to 2,no,no,0
945,less than 0 DM,15,critical account/other credits elsewhere,others,6850,less than 100 DM,unemployed,35 or more,male : married/widowed,none,1 to 4 yrs,car or other,34,stores,rent,1,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,0
946,200 DM or more,10,no credits taken/all credits paid back duly,car (used),2210,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,25,none,for free,1,unskilled-resident,0 to 2,no,no,0
947,200 DM or more,30,critical account/other credits elsewhere,car (new),7485,1000 DM or more,unemployed,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,53,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
948,no checking account,18,critical account/other credits elsewhere,others,1442,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,real estate,32,bank,own,2-3,unskilled-resident,3 or more,no,no,0
949,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,797,1000 DM or more,7 yrs or more,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,33,none,rent,1,unskilled-resident,3 or more,no,no,0
950,less than 0 DM,45,all credits at this bank paid back duly,furniture/equipment,4746,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,24,bank,rent,2-3,unskilled-resident,0 to 2,no,no,0
951,0 to 200 DM,12,all credits at this bank paid back duly,others,939,100 to 500 DM,4 to 7 yrs,less than 20,female : single,none,1 to 4 yrs,unknown/no property,28,none,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,0
952,less than 0 DM,21,no credits taken/all credits paid back duly,retraining,1188,unknown/no savings account,7 yrs or more,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,39,none,rent,1,skilled employee/official,3 or more,no,no,0
953,200 DM or more,48,all credits at this bank paid back duly,car (new),11590,less than 100 DM,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,24,none,for free,2-3,unskilled-resident,0 to 2,no,no,0
954,0 to 200 DM,12,critical account/other credits elsewhere,retraining,609,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,26,bank,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,0
955,no checking account,18,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,unemployed,25 to 35,female : non-single or male : single,none,7 yrs or more,real estate,55,none,own,4-5,unemployed/unskilled - non-resident,3 or more,no,no,0
956,less than 0 DM,21,no credits taken/all credits paid back duly,retraining,2767,less than 100 DM,7 yrs or more,less than 20,male : divorced/separated,none,1 to 4 yrs,building soc. savings agr./life insurance,61,none,for free,2-3,unskilled-resident,0 to 2,no,no,0
957,less than 0 DM,30,no credits taken/all credits paid back duly,car (used),3441,less than 100 DM,1 to 4 yrs,25 to 35,female : non-single or male : single,co-applicant,7 yrs or more,building soc. savings agr./life insurance,21,bank,for free,1,skilled employee/official,0 to 2,no,no,0
958,less than 0 DM,30,delay in paying off in the past,retraining,4280,less than 100 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,26,none,for free,2-3,unskilled-resident,0 to 2,no,no,0
959,less than 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,3092,less than 100 DM,less than 1 year,20 to 25,female : single,none,1 to 4 yrs,building soc. savings agr./life insurance,22,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,0
960,200 DM or more,18,no credits taken/all credits paid back duly,others,6761,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,68,stores,for free,2-3,skilled employee/official,0 to 2,no,no,0
961,less than 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1331,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,0
